Date,Adj Close,Close,High,Low,Open,Volume,Ticker,SMA_20,SMA_50,EMA_12,EMA_26,MACD,Signal_Line,RSI_14,BB_Mid,BB_Upper,BB_Lower,Daily_Return_%
01/07/97,8.918703079223633,13.05660343170166,13.345797538757324,12.92450237,13.281532287597656,442137352,RELIANCE.NS,,,13.05660343170166,13.05660343170166,0,0,,,,,
02/07/97,9.027228355407715,13.215481758117676,13.456477165222168,13.13871955871582,13.22619342803955,352633783,RELIANCE.NS,,,13.081046251150278,13.068372196621366,0.012674054528911682,0.002534811,,,,,1.216842705
03/07/97,8.907730102539062,13.040536880493164,13.263681411743164,12.999478340148926,13.147645950317383,225940109,RELIANCE.NS,,,13.074814040279952,13.06631032135261,0.008503719,0.003728593,,,,,-1.323787364
04/07/97,8.754084587097168,12.815608024597168,13.111943244934082,12.735276222229004,13.076239585876465,309913338,RELIANCE.NS,,,13.034936191713369,13.047739780852206,-0.012803589,0.000422156,,,,,-1.724843524
07/07/97,8.788229942321777,12.865592002868652,13.040536880493164,12.758482933044434,12.781689643859863,275138993,RELIANCE.NS,,,13.008883239583412,13.034247352853425,-0.025364113,-0.004735098,,,,,0.3900242436843282
08/07/97,8.682137489318848,12.710284233093262,12.915575981140137,12.638877868652344,12.837029457092285,308917624,RELIANCE.NS,,,12.962944930892618,13.010250084723042,-0.047305154,-0.013249109,,,,,-1.207156031
09/07/97,8.912605285644531,13.047677040100098,13.095876693725586,12.96020508,12.99590778,215082492,RELIANCE.NS,,,12.97598064000146,13.013022451788009,-0.037041812,-0.01800765,,,,,2.6544867197255906
10/07/97,8.951626777648926,13.104802131652832,13.281532287597656,13.01375961303711,13.13871955871582,345238055,RELIANCE.NS,,,12.995799331024749,13.01982094659281,-0.024021616,-0.019210443,,,,,0.4378180987862246
11/07/97,8.749202728271484,12.808466911315918,12.96020508,12.756697654724121,12.938782691955566,242305660,RELIANCE.NS,,,12.966978958761851,13.004165092127856,-0.037186133,-0.022805581,,,,,-2.261271993
14/07/97,8.440695762634277,12.356823921203613,12.781689643859863,12.28184700012207,12.71385383605957,317003769,RELIANCE.NS,,,12.87310895298366,12.956213894281616,-0.083104941,-0.034865453,,,,,-3.526128406
15/07/97,8.478497505187988,12.412162780761719,12.546050071716309,12.33540153503418,12.451436996459961,270226247,RELIANCE.NS,,,12.802194157257208,12.91591381179866,-0.113719655,-0.050636293,,,,,0.4478404799727498
16/07/97,8.555319786071777,12.524627685546875,12.70671272277832,12.463932991027832,12.603175163269043,295184902,RELIANCE.NS,,,12.759491623147927,12.886929654298529,-0.127438031,-0.065996641,,,,,0.9060862862632746
